EPOCH=001,Accuracy= 29.988%
EPOCH=002,Accuracy= 59.739%
EPOCH=003,Accuracy= 61.366%
EPOCH=004,Accuracy= 64.960%
EPOCH=005,Accuracy= 66.198%
EPOCH=006,Accuracy= 71.148%
EPOCH=007,Accuracy= 68.062%
EPOCH=008,Accuracy= 73.453%
EPOCH=009,Accuracy= 74.165%
EPOCH=010,Accuracy= 76.606%
EPOCH=011,Accuracy= 74.436%
EPOCH=012,Accuracy= 74.775%
EPOCH=013,Accuracy= 74.538%
EPOCH=014,Accuracy= 73.114%
EPOCH=015,Accuracy= 75.538%
EPOCH=016,Accuracy= 78.081%
EPOCH=017,Accuracy= 77.081%
EPOCH=018,Accuracy= 77.674%
EPOCH=019,Accuracy= 75.250%
EPOCH=020,Accuracy= 78.861%
