14.542%,12.985%,25.161%,1.222%,77.108%,12.479%,50.331%,75.947%,8.362%,26.929%,
62.255%,65.767%,51.129%,45.899%,72.461%,38.617%,79.967%,48.106%,72.355%,59.442%,
57.516%,82.125%,86.613%,40.663%,51.979%,48.398%,57.285%,39.583%,62.457%,82.266%,
66.176%,81.619%,79.516%,54.974%,72.461%,29.511%,59.603%,69.697%,70.648%,65.189%,
62.908%,89.882%,67.903%,42.234%,70.568%,41.315%,62.252%,62.879%,92.662%,68.637%,
67.320%,83.474%,75.161%,46.597%,66.781%,46.880%,85.430%,81.818%,69.966%,87.521%,
81.209%,87.858%,53.387%,29.668%,84.337%,37.268%,75.828%,77.652%,68.601%,84.565%,
84.477%,83.642%,63.710%,72.949%,59.208%,65.430%,70.530%,71.591%,79.181%,83.251%,
79.575%,91.400%,62.742%,51.832%,55.938%,76.897%,70.033%,88.258%,81.741%,83.908%,
82.190%,90.051%,76.935%,54.625%,74.355%,56.492%,83.775%,77.083%,82.253%,87.028%,
76.144%,76.054%,73.871%,62.304%,60.241%,60.708%,86.424%,76.326%,83.959%,87.356%,
77.451%,88.364%,72.097%,69.284%,71.773%,67.960%,54.636%,86.742%,83.959%,77.011%,
82.353%,73.862%,72.903%,73.647%,61.446%,35.245%,87.914%,78.788%,85.666%,92.939%,
78.105%,91.906%,91.129%,35.777%,66.609%,48.229%,82.781%,82.197%,81.570%,71.429%,
90.850%,90.894%,74.194%,60.209%,60.413%,69.477%,77.483%,75.947%,83.106%,71.757%,
83.987%,90.556%,79.032%,73.822%,73.150%,60.034%,75.000%,76.705%,86.689%,81.281%,
88.725%,87.352%,70.484%,49.040%,72.289%,75.211%,69.205%,89.015%,83.618%,86.043%,
84.150%,92.580%,78.871%,49.215%,68.675%,67.454%,89.570%,80.303%,83.276%,81.281%,
90.850%,83.642%,71.613%,62.827%,81.067%,61.214%,87.086%,85.985%,57.850%,70.608%,
79.248%,93.255%,81.774%,68.412%,73.666%,60.708%,85.265%,82.576%,83.447%,79.967%,
